Occupation,Factor,Mean,Major?, 
Coaches and Scouts,0.84,"$42,540 ",,
"Umpires, Referees, and Other Sports Officials",0.693,"$35,080 ",,
Dancers and Choreographers,0.839,"$42,450 ",,
Dancers,0,-4,,
Choreographers,1.046,"$52,970 ",,
"Musicians, Singers, and Related Workers",0,-4,,
Music Directors and Composers,1.215,"$61,490 ",,
Musicians and Singers,0,-4,,
"Entertainers and Performers, Sports and Related Workers, All Other",0,-4,,
Media and Communication Workers,1.277,"$64,620 ",,
Announcers,0.916,"$46,350 ",,
Radio and Television Announcers,0.941,"$47,630 ",,
Public Address System and Other Announcers,0.825,"$41,740 ",,
"News Analysts, Reporters and Correspondents",1.111,"$56,250 ",,
Broadcast News Analysts,1.743,"$88,250 ",,
Reporters and Correspondents,1.018,"$51,550 ",,
Public Relations Specialists,1.343,"$67,990 ",,
Writers and Editors,1.398,"$70,760 ",,
Editors,1.348,"$68,230 ",,
Technical Writers,1.471,"$74,440 ",,
Writers and Authors,1.425,"$72,120 ",,
Miscellaneous Media and Communication Workers,1.031,"$52,190 ",,
Interpreters and Translators,1.023,"$51,790 ",,
"Media and Communication Workers, All Other",1.05,"$53,160 ",,
Media and Communication Equipment Workers,1.102,"$55,780 ",,
Broadcast and Sound Engineering Technicians and Radio Operators,0.981,"$49,660 ",,
Audio and Video Equipment Technicians,0.939,"$47,530 ",,
Broadcast Technicians,0.923,"$46,730 ",,
Radio Operators,0.879,"$44,490 ",,
Sound Engineering Technicians,1.347,"$68,180 ",,
Photographers,0.829,"$41,940 ",,
"Television, Video, and Motion Picture Camera Operators and Editors",1.479,"$74,890 ",,
"Camera Operators, Television, Video, and Motion Picture",1.216,"$61,530 ",,
Film and Video Editors,1.658,"$83,950 ",,
"Media and Communication Equipment Workers, All Other",1.531,"$77,520 ",,
Healthcare Practitioners and Technical Occupations,1.595,"$80,760 ",*,
Health Diagnosing and Treating Practitioners,1.991,"$100,780 ",,
Chiropractors,1.647,"$83,350 ",,
Dentists,3.556,"$180,010 ",,
"Dentists, General",3.44,"$174,110 ",,
Oral and Maxillofacial Surgeons,4.795,"$242,740 ",,
Orthodontists,4.531,"$229,380 ",,
Prosthodontists,3.891,"$196,960 ",,
"Dentists, All Other Specialists",3.951,"$199,980 ",,
Dietitians and Nutritionists,1.188,"$60,150 ",,
Optometrists,2.353,"$119,100 ",,
Pharmacists,2.404,"$121,710 ",,
Physicians and Surgeons,4.241,"$214,700 ",,
Anesthesiologists,5.255,"$265,990 ",,
Family and General Practitioners,4.12,"$208,560 ",,
"Internists, General",3.919,"$198,370 ",,
Obstetricians and Gynecologists,4.647,"$235,240 ",,
"Pediatricians, General",3.705,"$187,540 ",,
Psychiatrists,4.269,"$216,090 ",,
Surgeons,4.976,"$251,890 ",,
"Physicians and Surgeons, All Other",4.176,"$211,390 ",,
Physician Assistants,2.07,"$104,760 ",,
Podiatrists,2.933,"$148,470 ",,
Therapists,1.556,"$78,740 ",,
Occupational Therapists,1.672,"$84,640 ",,
Physical Therapists,1.74,"$88,080 ",,
Radiation Therapists,1.683,"$85,190 ",,
Recreational Therapists,0.981,"$49,670 ",,
Respiratory Therapists,1.221,"$61,810 ",,
Speech-Language Pathologists,1.576,"$79,770 ",,
Exercise Physiologists,1.081,"$54,730 ",,
"Therapists, All Other",1.152,"$58,290 ",,
Veterinarians,2.006,"$101,530 ",,
Registered Nurses,1.453,"$73,550 ",,
Nurse Anesthetists,3.347,"$169,450 ",,
Nurse Midwives,2.047,"$103,640 ",,
Nurse Practitioners,2.123,"$107,480 ",,
Audiologists,1.581,"$80,040 ",,
"Health Diagnosing and Treating Practitioners, All Other",1.664,"$84,210 ",,
Health Technologists and Technicians,0.935,"$47,310 ",,
Clinical Laboratory Technologists and Technicians,1.052,"$53,230 ",,
Dental Hygienists,1.475,"$74,680 ",,
Diagnostic Related Technologists and Technicians,1.265,"$64,040 ",,
Cardiovascular Technologists and Technicians,1.131,"$57,250 ",,
Diagnostic Medical Sonographers,1.446,"$73,200 ",,
Nuclear Medicine Technologists,1.534,"$77,660 ",,
